0,57,55,66,41,66,39,63,41,73,69,52,81,59,53,64,117,54,36,62,78,44,76,63,56,91,58,88,51,45,72,64,56,41,46,78,51,34,50,53,43,65,60,67,57,56,44,61,60,45,41,59,49,65,54,46,50,59,51,46,47,37,65,69,59,64,61,51,43,61,70,64,74,48,60,43,58,65,53,97,72,55,56,51,51,62,47,63,46,49,48,41,63,69,46,41,66,76,81,41,40
1,3317,2714,3836,2490,2322,2413,3804,2520,3073,3828,2910,4506,3016,2917,3259,4576,3272,2252,2933,4698,2512,3673,3526,2249,4889,3525,4240,2825,2665,4256,3742,2876,2488,2479,4443,2892,2076,2958,3145,2589,3251,3604,4001,3221,3194,2480,3336,3184,2766,2475,3598,2736,3369,3034,2876,2965,3276,2874,2750,2870,2301,3720,3993,3327,3633,3535,2970,2601,2757,3978,3832,4202,2829,3032,2556,3578,3974,3218,5403,4108,2700,3206,3131,3024,3503,2808,2204,2812,2964,2911,2400,3544,4088,2781,2567,3877,4366,4174,2221,2347
2,-4.341489687,-4.336356022,-4.363442143,-4.362228389,-4.388645152,-4.369358974,-4.368846653,-4.389351322,-4.388645152,-4.285689644,-4.312780725,-4.349473782,-4.386899256,-4.389222881,-4.321199341,-4.302853574,-4.389351317,-4.309852999,-4.303831017,-4.389350064,-4.324996309,-4.331366632,-4.341890812,-4.388645152,-4.389303711,-4.388645152,-4.339630728,-4.317631607,-4.321351842,-4.308644627,-4.362228389,-4.31603601,-4.37463628,-4.368234276,-4.329487432,-4.388783496,-4.250791299,-4.305774506,-4.389351323,-4.31851753,-4.331498335,-4.369358976,-4.363442143,-4.34001562,-4.388783496,-4.36935899,-4.336216796,-4.339431374,-4.269948995,-4.353596391,-4.365903737,-4.316432974,-4.362385633,-4.340235771,-4.368846663,-4.389351323,-4.362847947,-4.341792705,-4.363442144,-4.36935899,-4.358957666,-4.388783496,-4.369358989,-4.326164748,-4.344018926,-4.328671106,-4.319162775,-4.315280667,-4.359778389,-4.358179705,-4.341389751,-4.388783496,-4.34013908,-4.347129439,-4.362228389,-4.389351243,-4.362228388,-4.388645152,-4.341062954,-4.340909075,-4.362228386,-4.356813177,-4.347763135,-4.389223046,-4.363438804,-4.317399281,-4.362066367,-4.363442143,-4.389351323,-4.388645152,-4.368846663,-4.389223046,-4.336680731,-4.35589388,-4.335620668,-4.328670918,-4.373342098,-4.331314198,-4.324664206,-4.362228389
3,49,91,58,51,71,30,53,66,58,47,53,46,52,48,75,57,58,61,60,54,59,55,54,47,83,83,77,62,57,57,52,54,51,69,66,53,48,79,52,52,66,71,90,46,59,70,64,39,52,42,58,51,68,46,82,61,41,45,60,54,42,43,46,61,67,54,54,56,53,45,44,57,46,51,65,69,56,65,99,59,73,50,58,59,78,57,59,61,58,58,43,71,62,74,74,35,47,50,44,51
4,3060,5580,3600,3180,4380,1920,3300,4080,3600,2940,3300,2880,3240,3000,4620,3540,3600,3780,3720,3360,3660,3420,3360,2940,5100,5100,4740,3840,3540,3540,3240,3360,3180,4260,4080,3300,3000,4860,3240,3240,4080,4380,5520,2880,3660,4320,3960,2460,3240,2640,3600,3180,4200,2880,5040,3780,2580,2820,3720,3360,2640,2700,2880,3780,4140,3360,3360,3480,3300,2820,2760,3540,2880,3180,4020,4260,3480,4020,6060,3660,4500,3120,3600,3660,4800,3540,3660,3780,3600,3600,2700,4380,3840,4560,4560,2220,2940,3120,2760,3180
5,-4.312573229,-4.368401458,-4.363442144,-4.32143514,-4.358957653,-4.292484353,-4.365903737,-4.369358985,-4.335933139,-4.362228389,-4.341890803,-4.315127005,-4.389223045,-4.334991108,-4.336680729,-4.369358917,-4.389223046,-4.362228389,-4.340139081,-4.36935895,-4.369358527,-4.363442144,-4.363442144,-4.389351322,-4.369132814,-4.389351323,-4.388783496,-4.369132814,-4.38935129,-4.363442139,-4.341581674,-4.389351323,-4.363441241,-4.362228389,-4.363442143,-4.334226959,-4.340139081,-4.362228389,-4.369132814,-4.339795199,-4.321199519,-4.368846663,-4.389351323,-4.36935899,-4.363442138,-4.336680732,-4.340263649,-4.357169644,-4.384720283,-4.2666363,-4.260449193,-4.389351316,-4.369358533,-4.368846663,-4.362228389,-4.388783496,-4.32777424,-4.363442144,-4.287233999,-4.339630732,-4.35589388,-4.335649866,-4.369358945,-4.362228389,-4.336582474,-4.340558965,-4.368475119,-4.336680732,-4.363442126,-4.334296445,-4.25507337,-4.33923685,-4.389351322,-4.389351322,-4.369358971,-4.335306916,-4.389351323,-4.272211166,-4.389223046,-4.369358434,-4.291947996,-4.293987466,-4.388778616,-4.36344214,-4.3313142,-4.369231956,-4.363442143,-4.389351322,-4.365917379,-4.389223042,-4.363442143,-4.362228374,-4.369358976,-4.321199137,-4.369255639,-4.35662332,-4.386506774,-4.337315027,-4.363442143,-4.356760246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,avg output,avg n call ff,avg n gen,n failures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNPSO,-4.351641433,3217.39,57.74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSO,-4.354078202,3604.2,58.07,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,,-10.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
precision,-0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
