ANNPSO,gen,175,345,279,313,130,499,302,190,98,164,129,65,275,499,198,149,499,133,130,310,176,74,226,324,123,65,218,84,89,142,199,197,69,100,138,173,171,161,119,142,499,499,499,138,194,244,499,226,223,85,499,87,324,83,276,498,191,136,337,64,419,128,181,196,56,318,154,144,130,323,358,265,495,184,68,499,144,193,135,92,185,103,187,110,308,298,120,471,73,350,238,76,125,77,215,499,95,120,139,218
,n call ff,2535,3933,1099,1328,816,1078,2761,1749,717,2176,2040,680,2677,1103,2933,1618,1056,918,719,1068,804,643,840,928,1309,749,809,690,716,2404,795,2059,640,659,803,892,966,804,1025,776,1102,1136,1109,769,851,959,1142,2916,4301,749,2660,803,3581,727,3359,1103,806,714,929,669,1030,762,2994,2406,644,894,908,1891,1802,2898,2425,2780,1460,2743,674,1122,725,1706,2063,703,3569,796,2598,676,4178,1005,723,1499,696,2512,1418,680,807,667,2781,1062,695,874,2547,801
PSO,gen,280,283,499,211,499,232,499,232,226,252,499,499,233,247,221,499,267,499,499,232,499,257,499,273,237,271,229,499,259,499,229,499,499,259,245,499,499,499,272,286,499,228,499,499,251,216,252,499,499,499,499,266,499,499,499,207,283,306,499,269,499,499,499,231,217,231,499,499,499,499,499,499,292,229,247,205,234,231,499,499,218,269,499,233,250,277,252,262,273,499,499,210,270,499,499,499,261,242,499,499
,n call ff,16920,17100,30060,12780,30060,14040,30060,14040,13680,15240,30060,30060,14100,14940,13380,30060,16140,30060,30060,14040,30060,15540,30060,16500,14340,16380,13860,30060,15660,30060,13860,30060,30060,15660,14820,30060,30060,30060,16440,17280,30060,13800,30060,30060,15180,13080,15240,30060,30060,30060,30060,16080,30060,30060,30060,12540,17100,18480,30060,16260,30060,30060,30060,13980,13140,13980,30060,30060,30060,30060,30060,30060,17640,13860,14940,12420,14160,13980,30060,30060,13200,16260,30060,14100,15120,16740,15240,15840,16500,30060,30060,12720,16320,30060,30060,30060,15780,14640,30060,30060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100 trials,avg n call fitness function,avg n generation,n failure(s),max call ff w/o failure(s),min call ff,max gen w/o failure(s),min gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PSO,22078.8,365.98,2,4301,640,499,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ANN PSO,1459.14,219.62,1,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,comparison,-93.39%,-39.99%,-50.00%,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
